"THIS PLACE IS DARN CUTE.Came here on a late night with my friend, it's small and intimate. The bar area could probably seat up to less than 10 people?Had a delicious lemon drink, completely forgot the name. The bartender was really friendly, giving us advice to where to head off to next.Stop by here next time if you're in the area for a bite or before a big night!",5.0
I stopped in late on a Saturday afternoon.  Place was busy but not full - I had a seat at the bar.   I had not realized that they open for brunch on weekends.  Brunch menu is Southern style - but I will have to go back - one order of shrimp and grits was enough for one day. Bartender was engaging. I chatted with the owner for a while - nice fellow - was kind enough to share comments on the spirits industry.  I had a bourbon Old Fashions which was good but not special.  Very much a local bar.  Maybe a dozen seats at the bar and several tables.  I don't recall any flat-screens. Worth a try if you are in the neighborhood.  I will go back for the brunch menu.,4.0
"I highly recommend trying Bourbon Springs if you're in the area, or even if you're not (don't worry the L's running now). BS delivered on its promise of refreshing libations and notable Southern dishes. I have zero affiliation to the South so I can't comment on the authenticity of the meals but I have had many a burger in the city and the Bourbon Burger ranks amongst the top. In terms of our dinner: - Fried Oysters: The meat was very scrumptious and hearty while the crust was still light and very flavorful. The horseradish aioli was also a great complement.  - Pickle Plate: On the smaller side with a variety of veggies including beets, turnips, cucs, carrots, brussels sprouts. - Bourbon Burger: Decadent burger overall but luckily we split it. The meat was cooked chef's preference and he did not disappoint. I always love me some carmelized onions. The garlic flavor from the chips did not really break through for me but they did provide a great texture element.  Overall, I found the staff to be considerate and attending, especially for a 930pm Saturday night dinner.",5.0
"Bourbon SpringsNY BK Williamsburg 5pm Thursday 4th February 2016Three StarsBourbon Springs is a hipster-esque bar/restaurant with white walls, pale wood furnishings, homemade pickle jars, every bitter elixir on earth. They were also batching Markers 46 with toasted Bark. It was completely empty except for myself on this early Thursday evening. I used my whiskey passport to enjoy a Taconic Whiskey on the Rocks. They serve ""vevo"" sparkling water with a $2 up-charge (stated on the menu but not by the server)I enjoyed some complimentary boiled peanuts which has a bit of slime, sweetness, and viscosity to them. They are definitely inferior the crunch of its roasted cousin. While waiting for my food, I heard a microwave beep which definitely makes me question the freshness of my meal. The Gumbo had a distinct oceanic taste. The oysters had a nice meatiness to them. The Okra made the broth thick and comforting. The shrimp as expected were thickness overcooked. The quenelle of jasmine rice was unique touch. The server was nice but seemed new.They did finish the meal with some delicious Chocolate Bourbon Balls with Pecans inside.",3.0
"I loved my meal at Bourbon Springs! My waiter was extremely attentive and helpful. I'm disappointed that I can't remember which cocktails my friend and I had, because they were both fantastic and affordable during happy hour. We were able to order a large bottle of cider for the happy hour price and save it for when we finished our first drinks, which was very accommodating! The local cider was excellent. It was nicely decorated, with succulents on each table and plenty of seating. I loved the relish plate, which we split. The crudites were fantastic, it came with some sort of marinated cauliflower, pickles, olives, celery, carrots, homemade ranch and pimento cheese, which was so good I ate it with a fork. My friend really liked the boudin balls, which were a generous portion. The roast broccoli was good, but not nearly as good as the crudites. We split the tomato sandwich as well and it was the perfect amount of food. Our waiter checked in on us many times, offering recommendations and giving us complimentary bourbon at the end! I do wish they had had the ricotta and grilled peaches while I was there, since I've heard good things. My only other recommendation would be to incorporate fried green tomatoes into the everyday menu. I liked the tomato sandwich and maybe it was just taking advantage of the last of the seasonally available fresh tomatoes, but I would have loved fried green tomatoes as well! I will absolutely be back.",5.0
DO NOT come here if you want good service. They automatically add 20% gratuity to your bill. I will not be back.,1.0
"These are famously nice people and a very cool local spot. The entire place smelled like biscuits (which they gave us one for free, very very good) which I of course had no complaints about and they hooked us up with a nice little shot of bourbon for our first time there. Go check it out, have some boiled peanuts!!!!",5.0
"Went with husband and 14 yr old daughter. Picked it because our daughter loved the food, especially the crawfish, when we were in Louisiana and this place had 4.5 stars. Ordered the crawfish étouffée, gumbo, honey cajun wings, boudin balls, fried oysters and whiskey sours. Cuisine is clearly no where near authentic. The cajun honey wings, had a really strong disturbing smell and tasted just like it. There was also nothing cajun about those wings. Both the étouffée and the gumbo were a pale brown, clearly not enough time given to the base. The staff was friendly and competent. There was strange background music that added nothing to a Louisiana themed restaurant. The whisky sours were ok although they were missing some sour for my taste. Will not be returning for the crawfish boil on Sunday.",3.0
"Simply amazing.  Stopped in on what I think was the opening weekend and I was floored.The Good:Where do I start?  Seriously great food.  We ordered a small assortment of dishes including:   -- The Relish Plate (an assortment of veggies and spreads)   -- Boudin Balls (incredibly delicious balls that seemed kind of similar to arancini, but with a cajun flair)   -- Deviled Eggs (amazing presentation -- seriously gorgeous with creme fraiche, trout roe, and garden fresh dill)   -- Marinated Peaches with Ricotta (by far my favorite, marinated peaches were grilled, I think, then paired with a wonderfully creamy, rich, and seasoned ricotta cheese. I would kick a bee's nest for another plate right now!)They also had a nice mix of cocktails and drinks available at a well stocked bar.  Service was outstanding, too.  Normally you'd expect some hiccups from a new place, but they were flawless. Not only efficient, they were very personable and the chef/owner even came out to say hi.  The decor was pleasant and seating was well organized, with options to sit at the bar, at a table.The Bad:I forgot to take pictures. Ok, so it's my bad.  Not theirs.  I've got nothing else.The Ugly:When we stopped in, they didn't have a sign.  I hope they get one soon.  While I don't go into Brooklyn very often, I will definitely come back here.  Really excellent.",5.0
UncomfortableIn almost every way. ALSOWhere the whiskey at??,2.0
"Relish plate,Boiled peanutsFried oysters Housemate ginger and mint sodapork-chop.All of these you must have!",5.0
"Love this addition to the neighborhood! Came here for a late Friday night dinner.Drinks:Their whiskey/bourbon/rye selection is great. We got the old fashioned b/c we were in the mood for cocktails but will definitely return to sample their whiskey and bourbon flights.Food:Too many delicious appetizers to sample in one trip! We got the deviled eggs which were perfection and the ham biscuits which were fluffy and buttery with a flavorful slice of cured ham, aged cheese and a really delicious compote. We felt great about our choices but can't wait to come back and try the boudin balls and gumbo.Since we went hard on appetizers we opted for sandwiches for our mains. He got the Bourbon Burger and I got the Oyster Po'Boy. Both extremely happy with our choices. The Oyster Po'Boy in particular was one of the best I've ever had - perfectly fried with great fixings.I live near Brooklyn Star which is another great southern restaurant in the area but will be making the walk over to Bourbon Springs on the regular. They bring something very different, more New Orleans inspired to the table. I am seriously looking forward to sampling everything on the menu.",5.0
"We stopped in at this spot in Williamsburg because it's relatively new, we'd never been, and the promise of a bar that specializes in whiskey is a big draw for us.Just as we were getting seated at the bar, we were recognized by the restaurant's General Manager, Ben Zorn. We knew Ben from his stint behind the bar at Tooker Alley. He designed Bourbon Springs' cocktail program. We had the house Sazerac, The Appellate Court, The Country Club, and finally a Remember The Maine. All were very good -- we would drink them again, for sure.As for the food, we had eaten lunch only a couple hours before coming here, but we made room for a couple appetizers. The relish tray includes both pickled vegetables (brussel's sprouts, beets, etc.) and fresh root vegetables, the latter are great for dipping into the pimento cheese and spicy ranch dressing. The deviled eggs tasted of mustard and herbs, which is the way I like them. The fish roe they're topped with give a pleasant, salty finish.Overall, a great experience, made better by running into a familiar face.",5.0
"Thank you food gods for your bounty, this awesome addition to the neighborhood. A hearty yes-please to the menu of southern wonderfulness. Mmmmm pulled pork, mmmm ham on biscuits, mmmmm bourbon things. Also it's laid back and the people are cool so thanks again FGs. (I realize there are no food gods.)",5.0
"My husband and I stopped in here on a whim after a long night of holiday shopping at Toys-R-Us, and needless to say we needed a drink and then some. The atmosphere is simple and unassuming and we decided to sit at the bar. Since the place has a New Orleans flair, my husband ordered a sazerac and I ordered a maple pecan beer from a Louisiana brewery. I loved my bev as it was everything I hope for in a beer: dark, flavorful, sweet, and not bitter at all. My husband thought his sazerac was a little too sweet but still drinkable. The menu is on the small side and we both ordered sandwiches- I had the fried green tomato sandwich and my husband had the muffuletta, with a pickle plate to share. My sandwich was solid but I thought it lacked flavor, it could have used a zestier sauce or perhaps just more sauce in general. However, the pickle plate made up for it in flavor and was the best pickle plate I've ever had (and I have pickle plates every chance I get!). My husband said that his muffuletta was good, much better than other NYC versions he's had, though he thought the crust of the bread was a little too hard and crispy.The service was attentive and though a ten top had just come in we still received our food in a very timely fashion. It's definitely a place worth checking out and we'll be in for drinks again soon!",3.0
"Came in on a Sunday for brunch and it was pretty quiet.  Charming retro rustic decor with a full bar and small back patio seating. 90's Rock was soundtrack of the day (Amen).  I love that the service and the food both reflect the southern hospitality.  The waitress was unassuming, friendly and patient.  Fried oysters hit all the right textures and flavors.  Gumbo was flavorful, rich with ingredients and slightly spicy (although I wish it came with more rice). Deviled eggs were the best I've had in 13 years of living here.  People always raved about deviled eggs at spotted pig (which I didn't understand), but these are far far better: flavorful and smooth, not over seasoned or overcooked.  Egg Sardou was simply delicious, especially for an artichoke fan like me.  I wish all brunch places offer Eggs Benedict on artichoke bottoms.  Eggs were cooked perfectly runny. Banana french toast was succulent and you can't go wrong with caramel and caramelized bananas.  I would be happy to eat all these things again but will skip the coffee. Coffee wasn't strong and portion was tiny for the price.  FYI, filtered water is unlimited at $2/head, full table participation.  And how cute that they have a washlet toilet.",5.0
"Thank you Yelp and the other reviewers for this discovery because it worth it!Huge selection of Whiskey and great food! One of the best burger I had since I'm here (2 months).Plus, the staff is super friendly =)We were four french folks and really appreciated this place! I will come back ;)",5.0
